Official Full Name,"Official Symbol
GIPC PDZ domain containing family member 3,GIPC3,OMIM:601869,"Deafness, autosomal recessive 15"
glucose-6-phosphatase catalytic subunit 3,G6PC3,OMIM:612541,"Neutropenia, severe congenital, 4, autosomal recessive"
glutamic--pyruvic transaminase 2,GPT2,ORPHA:477673,Postnatal microcephaly-infantile hypotonia-spastic diplegia-dysarthria-intellectual disability syndrome
glutamic--pyruvic transaminase 2,GPT2,OMIM:616281,Neurodevelopmental disorder with microcephaly and spastic paraplegia
glutamine rich 1,QRICH1,OMIM:617982,Ververi-Brady syndrome
glutaredoxin and cysteine rich domain containing 1,GRXCR1,OMIM:613285,"Deafness, autosomal recessive 25"
GNAS complex locus,GNAS,OMIM:219080,ACTH-independent macronodular adrenal hyperplasia
GNAS complex locus,GNAS,ORPHA:189427,Cushing syndrome due to bilateral macronodular adrenocortical disease
GNAS complex locus,GNAS,ORPHA:57782,Mazabraud syndrome
GNAS complex locus,GNAS,ORPHA:562,McCune-Albright syndrome
GNAS complex locus,GNAS,OMIM:174800,"McCune-Albright syndrome, somatic, mosaic"
GNAS complex locus,GNAS,OMIM:166350,"Osseous heteroplasia, progressive"
GNAS complex locus,GNAS,OMIM:617686,"Pituitary adenoma 3, multiple types, somatic"
GNAS complex locus,GNAS,ORPHA:2762,Progressive osseous heteroplasia
GNAS complex locus,GNAS,ORPHA:79443,Pseudohypoparathyroidism type 1A
GNAS complex locus,GNAS,ORPHA:94089,Pseudohypoparathyroidism type 1B
GNAS complex locus,GNAS,ORPHA:79444,Pseudohypoparathyroidism type 1C
GNAS complex locus,GNAS,OMIM:103580,"Pseudohypoparathyroidism, type IA"
GNAS complex locus,GNAS,OMIM:603233,"Pseudohypoparathyroidism, type IB"
GNAS complex locus,GNAS,OMIM:612462,"Pseudohypoparathyroidism, type IC"
GNAS complex locus,GNAS,ORPHA:79445,Pseudopseudohypoparathyroidism
GNAS complex locus,GNAS,OMIM:612463,Pseudopseudohypoparathyroidism
growth differentiation factor 9,GDF9,OMIM:618014,Premature ovarian failure 14
"H1.4 linker histone, cluster member",H1-4,OMIM:617537,Rahman syndrome
"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",HUWE1,OMIM:309590,"Intellectual developmental disorder, X-linked syndromic, Turner type"
helicase for meiosis 1,HFM1,OMIM:615724,Premature ovarian failure 9
hes related family bHLH transcription factor with YRPW motif 2,HEY2,ORPHA:91387,Familial thoracic aortic aneurysm and aortic dissection
heterogeneous nuclear ribonucleoprotein R,HNRNPR,OMIM:620073,Neurodevelopmental disorder with dysmorphic facies and skeletal and brain abnormalities
histone deacetylase 4,HDAC4,OMIM:600430,Chromosome 2q37 deletion syndrome
histone deacetylase 4,HDAC4,OMIM:619797,Neurodevelopmental disorder with central hypotonia and dysmorphic facies
histone deacetylase 4,HDAC4,ORPHA:1001,"2q37 microdeletion syndrome
"
homeobox A1,HOXA1,OMIM:601536,Athabaskan brainstem dysgenesis syndrome
homeostatic iron regulator,HFE,ORPHA:465508,Symptomatic form of HFE-related hemochromatosis
homeostatic iron regulator,HFE,OMIM:235200,"Hemochromatosis, type 1"
homeostatic iron regulator,HFE,ORPHA:586,Cystic fibrosis
hydatidiform mole associated and imprinted,HYMAI,ORPHA:96191,Paternal uniparental disomy of chromosome 6 syndrome
hydatidiform mole associated and imprinted,HYMAI,ORPHA:99886,Transient neonatal diabetes mellitus
hydatidiform mole associated and imprinted,HYMAI,OMIM:601410,"Diabetes mellitus, transient neonatal, 1"
hydroxysteroid 17-beta dehydrogenase 4,HSD17B4,OMIM:233400,Perrault syndrome 1
hydroxysteroid 17-beta dehydrogenase 4,HSD17B4,OMIM:261515,D-bifunctional protein deficiency
immunoglobulin like domain containing receptor 1,ILDR1,OMIM:609646,"Deafness, neurosensory, autosomal recessive 42"
integrin subunit beta 2,ITGB2,OMIM:116920,"Leukocyte adhesion deficiency, type I"
interferon regulatory factor 2 binding protein like,IRF2BPL,OMIM:618088,"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures
"
jumonji and AT-rich interaction domain containing 2,JARID2,OMIM:620098,Developmental delay with variable intellectual disability and dysmorphic facies
KASH domain containing 5,KASH5,OMIM:620547,Spermatogenic failure 88
KASH domain containing 5,KASH5,OMIM:620548,Premature ovarian failure 22
KAT8 regulatory NSL complex subunit 1,KANSL1,OMIM:610443,Koolen-De Vries syndrome
kinesin family member 1A,KIF1A,ORPHA:101010,Autosomal spastic paraplegia type 30
kinesin family member 1A,KIF1A,ORPHA:970,Hereditary sensory and autonomic neuropathy type 2
kinesin family member 1A,KIF1A,OMIM:614255,NESCAV syndrome
kinesin family member 1A,KIF1A,OMIM:201300,"Neuropathy, hereditary sensory and autonomic, type II"
kinesin family member 1A,KIF1A,OMIM:614213,"Neuropathy, hereditary sensory, type IIC"
kinesin family member 1A,KIF1A,OMIM:610357,"Spastic paraplegia 30, autosomal recessive"
kinesin family member 1A,KIF1A,OMIM:620607,"Spastic paraplegia 30, autosomal recessive"
kinesin family member 7,KIF7,ORPHA:36,Acrocallosal syndrome
kinesin family member 7,KIF7,OMIM:200990,Acrocallosal syndrome
kinesin family member 7,KIF7,OMIM:607131,Al-Gazali-Bakalinova syndrome
kinesin family member 7,KIF7,ORPHA:2189,Hydrolethalus
kinesin family member 7,KIF7,OMIM:614120,Hydrolethalus syndrome 2
kinesin family member 7,KIF7,ORPHA:166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome
kinesin family member 7,KIF7,ORPHA:2754,Orofaciodigital syndrome type 6
KN motif and ankyrin repeat domains 1,KANK1,OMIM:612900,"Cerebral palsy, spastic quadriplegic, 2"
laminin subunit alpha 2,LAMA2,OMIM:618138,"Muscular dystrophy, limb-girdle, autosomal recessive 23"
laminin subunit alpha 2,LAMA2,OMIM:607855,"Muscular dystrophy, congenital, merosin deficient or partially deficient"
laminin subunit alpha 2,LAMA2,ORPHA:258,Laminin subunit alpha 2-related congenital muscular dystrophy
LDL receptor related protein 2,LRP2,ORPHA:2143,Donnai-Barrow syndrome
LDL receptor related protein 2,LRP2,OMIM:222448,Donnai-Barrow syndrome
leucine rich transmembrane and O-methyltransferase domain containing,LRTOMT,OMIM:611451,"Deafness, autosomal recessive 63"
"leucyl-tRNA synthetase 2, mitochondrial",LARS2,OMIM:615300,Perrault syndrome 4
"leucyl-tRNA synthetase 2, mitochondrial",LARS2,OMIM:617021,"Hydrops, lactic acidosis, and sideroblastic anemia"
LHFPL tetraspan subfamily member 5,LHFPL5,OMIM:610265,"Deafness, autosomal recessive 67"
lipoxygenase homology PLAT domains 1,LOXHD1,OMIM:613079,"Deafness, autosomal recessive 77"
lysine acetyltransferase 6A,KAT6A,OMIM:616268,Arboleda-Tham syndrome
lysine acetyltransferase 6A,KAT6A,ORPHA:457193,KAT6-related intellectual disability-craniofacial anomalies-cardiac defects syndrome
lysine demethylase 3B,KDM3B,OMIM:618846,Diets-Jongmans syndrome
lysine demethylase 4B,KDM4B,OMIM:619320,"Intellectual developmental disorder, autosomal dominant 65"
lysine demethylase 5C,KDM5C,OMIM:300534,"Intellectual developmental disorder, X-linked syndromic, Claes-Jensen type"
lysine demethylase 5C,KDM5C,ORPHA:85279,"KDM5C-related syndromic X-linked intellectual disability
"
lysine demethylase 6B,KDM6B,OMIM:618505,Stolerman neurodevelopmental syndrome
lysine methyltransferase 2A,KMT2A,OMIM:605130,Wiedemann-Steiner syndrome
lysine methyltransferase 2A,KMT2A,ORPHA:319182,Wiedemann-Steiner syndrome
lysine methyltransferase 2B,KMT2B,ORPHA:589618,Dystonia 28
lysine methyltransferase 2B,KMT2B,OMIM:619934,"Intellectual developmental disorder, autosomal dominant 68"
lysine methyltransferase 2B,KMT2B,OMIM:617284,"Dystonia 28, childhood-onset"
lysine methyltransferase 2C,KMT2C,OMIM:617768,Kleefstra syndrome 2
lysine methyltransferase 2C,KMT2C,ORPHA:261652,Kleefstra syndrome due to a point mutation
lysine methyltransferase 2D,KMT2D,ORPHA:2322,Kabuki syndrome
lysine methyltransferase 2D,KMT2D,OMIM:620186,"Branchial arch abnormalities, choanal atresia, athelia, hearing loss, and hypothyroidism syndrome"
lysine methyltransferase 2D,KMT2D,OMIM:147920,Kabuki syndrome 1
lysine methyltransferase 2E (inactive),KMT2E,OMIM:618512,O'donnell-Luria-Rodan syndrome
lysine methyltransferase 5B,KMT5B,OMIM:617788,"Intellectual developmental disorder, autosomal dominant 51"
MAP kinase activating death domain,MADD,OMIM:619005,"Neurodevelopmental disorder with dysmorphic facies, impaired speech and hypotonia"
MAP kinase activating death domain,MADD,OMIM:619004,Deeah syndrome
MARVEL domain containing 2,MARVELD2,OMIM:610153,"Deafness, autosomal recessive 49"
mechanistic target of rapamycin kinase,MTOR,OMIM:607341,Focal cortical dysplasia of taylor
mechanistic target of rapamycin kinase,MTOR,ORPHA:99802,Hemimegalencephaly
mechanistic target of rapamycin kinase,MTOR,ORPHA:457485,Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome
mechanistic target of rapamycin kinase,MTOR,OMIM:616638,Smith-Kingsmore syndrome
mediator complex subunit 13,MED13,OMIM:618009,Intellectual developmental disorder 61
mediator complex subunit 13L,MED13L,ORPHA:369891,Developmental delay-facial dysmorphism syndrome due to MED13L deficiency
mediator complex subunit 13L,MED13L,OMIM:616789,Impaired intellectual development and distinctive facial features with or without cardiac defects
mediator complex subunit 23,MED23,OMIM:614249,"Intellectual developmental disorder, autosomal recessive 18, with or without epilepsy"
mediator complex subunit 27,MED27,OMIM:619286,"Neurodevelopmental disorder with spasticity, cataracts, and cerebellar hypoplasia"
Meis homeobox 2,MEIS2,OMIM:600987,"Cleft palate, cardiac defects, and impaired intellectual development"
Meis homeobox 3,MEIS3,ORPHA:261190,Cleft palate-congenital heart defect-intellectual disability syndrome due to 15q14 microdeletion
melanocyte inducing transcription factor,MITF,OMIM:617306,"Coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness"
melanocyte inducing transcription factor,MITF,ORPHA:618,Familial melanoma
melanocyte inducing transcription factor,MITF,OMIM:614456,"Melanoma, cutaneous malignant, susceptibility to, 8"
melanocyte inducing transcription factor,MITF,OMIM:103500,Tietz albinism-deafness syndrome
melanocyte inducing transcription factor,MITF,ORPHA:42665,Tietz syndrome
melanocyte inducing transcription factor,MITF,ORPHA:895,Waardenburg syndrome type 2
melanocyte inducing transcription factor,MITF,OMIM:193510,"Waardenburg syndrome, type 2A"
melanocyte inducing transcription factor,MITF,ORPHA:897,Waardenburg-Shah syndrome
methionine sulfoxide reductase B3,MSRB3,OMIM:613718,"Deafness, autosomal recessive 74
"
methylenetetrahydrofolate reductase,MTHFR,OMIM:236250,"Homocystinuria due to deficiency of n(5,10)-methylenetetrahydrofolatereductase activity"
methylenetetrahydrofolate reductase,MTHFR,ORPHA:395,Homocystinuria due to methylene tetrahydrofolate reductase deficiency
methylenetetrahydrofolate reductase,MTHFR,ORPHA:563609,Isolated anencephaly
methylenetetrahydrofolate reductase,MTHFR,ORPHA:563612,Isolated exencephaly
methylenetetrahydrofolate reductase,MTHFR,OMIM:601634,"Neural tube defects, folate-sensitive"
methylenetetrahydrofolate reductase,MTHFR,OMIM:181500,Schizophrenia
methylenetetrahydrofolate reductase,MTHFR,OMIM:188050,"Thrombophiliavenous thromboembolism, included"
"MFSD2 lysolipid transporter A, lysophospholipid",MFSD2A,ORPHA:2512,Autosomal recessive primary microcephaly
"MFSD2 lysolipid transporter A, lysophospholipid",MFSD2A,OMIM:616486,"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain abnormalities"
MTSS I-BAR domain containing 2,MTSS2,OMIM:620086,Intellectual developmental disorder with ocular anomalies and distinctive facial features
mutS homolog 4,MSH4,OMIM:619938,Premature ovarian failure 20
mutS homolog 4,MSH4,ORPHA:243,"46,XX gonadal dysgenesis"
mutS homolog 4,MSH4,OMIM:108420,"Spermatogenic failure 2
"
mutS homolog 5,MSH5,OMIM:617442,Premature ovarian failure 13
mutS homolog 5,MSH5,OMIM:619937,Spermatogenic failure 74
mutS homolog 5,MSH5,ORPHA:399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation
"MYC proto-oncogene, bHLH transcription factor",MYC,ORPHA:543,Burkitt lymphoma
"MYC proto-oncogene, bHLH transcription factor",MYC,OMIM:113970,Burkitt lymphoma
myelin transcription factor 1 like,MYT1L,ORPHA:647799,MYT1L-related developmental delay-intellectual disability-obesity syndrome
myelin transcription factor 1 like,MYT1L,OMIM:616521,"Intellectual developmental disorder, autosomal dominant 39"
myosin heavy chain 9,MYH9,OMIM:155100,Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss
myosin heavy chain 9,MYH9,OMIM:603622,"Deafness, autosomal dominant nonsyndromic sensorineural 17"
myosin heavy chain 9,MYH9,ORPHA:182050,MYH9-related syndromic thrombocytopenia
myosin IIIA,MYO3A,OMIM:607101,"Deafness, autosomal recessive 30"
myosin VI,MYO6,,"Deafness, autosomal recessive 37"
myosin VI,MYO6,,"Deafness, autosomal dominant 22
"
myosin VIIA,MYO7A,OMIM:601317,"Deafness, autosomal dominant nonsyndromic sensorineural 11"
myosin VIIA,MYO7A,OMIM:600060,"Deafness, neurosensory, autosomal recessive 2"
myosin VIIA,MYO7A,ORPHA:231169,Usher syndrome type 1
myosin VIIA,MYO7A,ORPHA:231178,Usher syndrome type 2
myosin VIIA,MYO7A,OMIM:276900,"Usher syndrome, type I"
myosin XVA,MYO15A,OMIM:600316,"Deafness, neurosensory, autosomal recessive 3"
N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,GNPTAB,OMIM:252600,Mucolipidosis III alpha/beta
N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,GNPTAB,ORPHA:423461,Mucolipidosis type III alpha/beta
N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,GNPTAB,ORPHA:576,Mucolipidosis type II
N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,GNPTAB,OMIM:252500,Mucolipidosis II alpha/beta
"N-alpha-acetyltransferase 15, NatA auxiliary subunit",NAA15,OMIM:617787,"Intellectual developmental disorder, autosomal dominant 50, with behavioral abnormalities"
netrin G1,NTNG1,ORPHA:3095,Atypical Rett syndrome
netrin G2,NTNG2,OMIM:618718,"Neurodevelopmental disorder with behavioral abnormalities, absent speech, and hypotonia"
neurobeachin,NBEA,OMIM:619157,Neurodevelopmental disorder with or without early-onset generalized epilepsy
NOBOX oogenesis homeobox,NOBOX,OMIM:611548,Premature ovarian failure 5
NOP2/Sun RNA methyltransferase 2,NSUN2,ORPHA:235,Dubowitz syndrome
NOP2/Sun RNA methyltransferase 2,NSUN2,OMIM:611091,"Intellectual developmental disorder, autosomal recessive 5"
nuclear receptor binding SET domain protein 2,NSD2,OMIM:619695,Rauch-Steindl syndrome
nuclear receptor binding SET domain protein 2,NSD2,ORPHA:280,Wolf-Hirschhorn syndrome
nuclear receptor binding SET domain protein 2,NSD2,OMIM:194190,Wolf-Hirschhorn syndrome
nuclear receptor subfamily 5 group A member 1,NR5A1,ORPHA:243,"46,XX gonadal dysgenesis"
nuclear receptor subfamily 5 group A member 1,NR5A1,ORPHA:2138,"46,XX ovotesticular difference of sex development"
nuclear receptor subfamily 5 group A member 1,NR5A1,ORPHA:393,"46,XX testicular difference of sex development"
nuclear receptor subfamily 5 group A member 1,NR5A1,ORPHA:242,"46,XY complete gonadal dysgenesis"
nuclear receptor subfamily 5 group A member 1,NR5A1,ORPHA:251510,"46,XY partial gonadal dysgenesis"
nuclear receptor subfamily 5 group A member 1,NR5A1,OMIM:617480,"46,xx sex reversal 4"
nuclear receptor subfamily 5 group A member 1,NR5A1,OMIM:612965,46XY sex reversal 3
nuclear receptor subfamily 5 group A member 1,NR5A1,ORPHA:399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation
nuclear receptor subfamily 5 group A member 1,NR5A1,OMIM:612964,Premature ovarian failure 7
nuclear receptor subfamily 5 group A member 1,NR5A1,OMIM:613957,Spermatogenic failure 8
OFD1 centriole and centriolar satellite protein,OFD1,ORPHA:475,Isolated Joubert syndrome
OFD1 centriole and centriolar satellite protein,OFD1,OMIM:300804,Joubert syndrome 10
OFD1 centriole and centriolar satellite protein,OFD1,OMIM:311200,Orofaciodigital syndrome I
OFD1 centriole and centriolar satellite protein,OFD1,ORPHA:2750,Orofaciodigital syndrome type 1
OFD1 centriole and centriolar satellite protein,OFD1,ORPHA:2754,Orofaciodigital syndrome type 6
OFD1 centriole and centriolar satellite protein,OFD1,ORPHA:244,Primary ciliary dyskinesia
OFD1 centriole and centriolar satellite protein,OFD1,ORPHA:791,Retinitis pigmentosa
OFD1 centriole and centriolar satellite protein,OFD1,OMIM:300424,Retinitis pigmentosa 23
OFD1 centriole and centriolar satellite protein,OFD1,OMIM:300209,"Simpson-Golabi-Behmel syndrome, type 2"
,,,
otoancorin,OTOA,OMIM:607039,"Deafness, autosomal recessive 22"
otoferlin,OTOF,OMIM:601071,"Deafness, autosomal recessive 9"
otogelin,OTOG,OMIM:614945,"Deafness, autosomal recessive 18B"
otogelin like,OTOGL,OMIM:614944,"Deafness, autosomal recessive 84B"
OTU deubiquitinase 6B,OTUD6B,ORPHA:505237,Early-onset seizures-distal limb anomalies-facial dysmorphism-global developmental delay syndrome
OTU deubiquitinase 6B,OTUD6B,OMIM:617452,"Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies"
paired box 3,PAX3,OMIM:122880,Craniofacial-deafness-hand syndrome
paired box 3,PAX3,ORPHA:1529,Craniofacial-deafness-hand syndrome
paired box 3,PAX3,OMIM:268220,"Rhabdomyosarcoma 2, alveolar"
paired box 3,PAX3,ORPHA:894,Waardenburg syndrome type 1
paired box 3,PAX3,ORPHA:896,Waardenburg syndrome type 3
paired box 3,PAX3,OMIM:193500,"Waardenburg syndrome, type 1"
paired box 3,PAX3,OMIM:148820,"Waardenburg syndrome, type 3"
pancreatic and duodenal homeobox 1,PDX1,ORPHA:552,"Diabetes mellitus, noninsulin-dependent"
pancreatic and duodenal homeobox 1,PDX1,OMIM:125853,"Maturity-onset diabetes of the young, type 4"
pancreatic and duodenal homeobox 1,PDX1,OMIM:606392,Isolated permanent neonatal diabetes mellitus
pancreatic and duodenal homeobox 1,PDX1,ORPHA:99885,"Pancreatic agenesis, congenital"
pancreatic and duodenal homeobox 1,PDX1,OMIM:260370,
patched domain containing 1,PTCHD1,OMIM:300830,"Autism, susceptibility to, X-linked 4"
PDZ domain containing 7,PDZD7,OMIM:618003,"Deafness, autosomal recessive 57"
PDZ domain containing 7,PDZD7,ORPHA:231178,Usher syndrome type 2
PDZ domain containing 7,PDZD7,OMIM:276901,"Usher syndrome, type IIA"
PDZ domain containing 7,PDZD7,OMIM:605472,"Usher syndrome, type IIC"
pejvakin,PJVK,OMIM:610220,"Deafness, autosomal recessive 59"
PHIP subunit of CUL4-Ring ligase complex,PHIP,OMIM:617991,"Developmental delay, intellectual disability, obesity, and dysmorphic features"
PHIP subunit of CUL4-Ring ligase complex,PHIP,ORPHA:589905,PHIP-related behavioral problems-intellectual disability-obesity-dysmorphic features syndrome
phosphatidylinositol glycan anchor biosynthesis class L,PIGL,OMIM:280000,CHIME syndrome
